163                 143               0.987  ; 488                 114      2664                 785
533                 233               0.984  ; 88                 210      -733                1162
433                 319               0.981  ; 193                 313      3807                1102
453                 165               0.995  ; 174                 144      -1563                1055
143                 167               0.995  ; 517                 151      3761                 771
321                  77               0.973  ; 320                  47      -2229                 916
191                  77               0.984  ; 464                  48      31                 789
449                 335               0.984  ; 178                 323      4046                1120
451                 283               0.965  ; 178                 270      2348                1120
187                 405               0.973  ; 462                 403      10950                 910
197                 345               0.941  ; 446                 330      9076                 918
155                 411               0.952  ; 488                 406      11953                 895
243                 127               0.944  ; 400                 105      791                 879
353                 355               0.987  ; 278                 349      6329                1036
495                 171               0.962  ; 128                 152      -2167                1123
535                 227               0.968  ; 89                 207      -986                1176
391                  79               0.946  ; 242                  46      -3485                1002
183                 193               0.993  ; 467                 171      3931                 818
571                 323               0.973  ; 44                 307      1573                1240
221                 415               0.916  ; 417                 403      11331                 986
339                 321               0.941  ; 291                 315      5708                1046
251                 185               0.919  ; 391                 159      2687                 925
221                 411               0.954  ; 416                 405      10761                 957
369                 327                0.99  ; 262                 320      5128                1039
571                 233               0.954  ; 49                 216      -1440                1225
377                 321               0.952  ; 255                 313      4972                1074
99                 167               0.957  ; 556                 146      4671                 748
323                 351               0.973  ; 320                 348      6803                1017
87                 187               0.959  ; 565                 167      5545                 743
505                 169               0.981  ; 116                 148      -2355                1115
369                 191               0.978  ; 274                 161      709                 999
487                 257               1.007  ; 136                 246      832                1109
87                 261               0.968  ; 566                 246      7959                 766
535                 255               0.973  ; 92                 238      -52                1181
607                  37               0.941  ; 295                 106      -8818                1200
259                 265               0.952  ; 389                 247      5171                 940
193                 205               0.944  ; 453                 182      4345                 860
553                  97               0.984  ; 67                  65      -5526                1131
483                 161               0.995  ; 141                 130      -2202                1081
429                 255               0.981  ; 202                 235      1776                1076
295                 285               0.987  ; 350                 280      5038                 958
187                 355               0.941  ; 462                 339      9598                 912
205                 151               0.995  ; 443                 131      2192                 822
233                 379               0.914  ; 403                 366      9866                 985
155                 225               0.976  ; 499                 213      5533                 813
191                 121               0.998  ; 463                 100      1455                 797
131                  75               0.962  ; 523                  41      1008                 742
409                 391               0.909  ; 220                 374      7074                1170
541                 251                0.97  ; 78                 231      -291                1188
81                 265               0.946  ; 565                 252      8378                 773
193                 377               0.941  ; 452                 370      10243                 926
89                 375               0.959  ; 568                 373      11822                 814
451                 249               0.987  ; 176                 233      1195                1089
91                 407               0.914  ; 556                 400      13475                 854
329                  81               0.981  ; 309                  51      -2214                 920
489                 149               0.993  ; 134                 126      -2698                1083
251                  87               0.993  ; 387                  62      -662                 843
249                 203               0.978  ; 395                 188      3175                 891
527                 385               0.931  ; 102                 368      4569                1263
355                 399               0.952  ; 277                 392      8000                1082
133                 307               0.987  ; 524                 302      8527                 816
475                  89               0.995  ; 148                  59      -4396                1048
133                 215               0.976  ; 525                 201      5583                 788
375                 201               0.993  ; 259                 183      926                 997
319                 169               0.952  ; 321                 143      860                 962
467                 253                0.97  ; 162                 236      1064                1119
119                 157               0.949  ; 534                 136      4012                 768
567                 389               0.911  ; 59                 372      4061                1326
195                 333               0.931  ; 451                 318      8791                 918
403                 271               0.941  ; 227                 254      2849                1090
